000004,0.779,Susah,Tunisia,36.17N,9.94E
1938-03-01,11.913,0.322,Susah,Tunisia,36.17N,9.94E
1938-04-01,13.845,0.496,Susah,Tunisia,36.17N,9.94E
1938-05-01,18.89,0.418,Susah,Tunisia,36.17N,9.94E
1938-06-01,25.101999999999997,0.653,Susah,Tunisia,36.17N,9.94E
1938-07-01,27.761,0.495,Susah,Tunisia,36.17N,9.94E
1938-08-01,28.063000000000002,0.43200000000000005,Susah,Tunisia,36.17N,9.94E
1938-09-01,24.986,0.525,Susah,Tunisia,36.17N,9.94E
1938-10-01,20.593000000000004,0.494,Susah,Tunisia,36.17N,9.94E
1938-11-01,15.93,0.594,Susah,Tunisia,36.17N,9.94E
1938-12-01,11.380999999999998,0.565,Susah,Tunisia,36.17N,9.94E
1939-01-01,11.512,0.57,Susah,Tunisia,36.17N,9.94E
1939-02-01,11.965,0.23199999999999998,Susah,Tunisia,36.17N,9.94E
1939-03-01,11.343,0.435,Susah,Tunisia,36.17N,9.94E
1939-04-01,15.227,0.326,Susah,Tunisia,36.17N,9.94E
1939-05-01,17.268,1.042,Susah,Tunisia,36.17N,9.94E
1939-06-01,23.421999999999997,0.46799999999999997,Susah,Tunisia,36.17N,9.94E
1939-07-01,29.169,0.9840000000000001,Susah,Tunisia,36.17N,9.94E
1939-08-01,27.902,0.669,Susah,Tunisia,36.17N,9.94E
1939-09-01,24.18,0.44799999999999995,Susah,Tunisia,36.17N,9.94E
1939-10-01,21.558000000000003,0.878,Susah,Tunisia,36.17N,9.94E
1939-11-01,15.839,0.772,Susah,Tunisia,36.17N,9.94E
1939-12-01,12.089,0.637,Susah,Tunisia,36.17N,9.94E
1940-01-01,10.457,0.29600000000000004,Susah,Tunisia,36.17N,9.94E
1940-02-01,12.885,0.634,Susah,Tunisia,36.17N,9.94E
1940-03-01,14.540999999999999,0.638,Susah,Tunisia,36.17N,9.94E
1940-04-01,15.32,0.25,Susah,Tunisia,36.17N,9.94E
1940-05-01,19.86,0.435,Susah,Tunisia,36.17N,9.94E
1940-06-01,22.881,0.882,Susah,Tunisia,36.17N,9.94E
1940-07-01,27.077,0.556,Susah,Tunisia,36.17N,9.94E
1940-08-01,26.036,0.927,Susah,Tunisia,36.17N,9.94E
1940-09-01,24.480999999999998,0.318,Susah,Tunisia,36.17N,9.94E
1940-10-01,20.432000000000002,0.308,Susah,Tunisia,36.17N,9.94E
1940-11-01,14.792,0.428,Susah,Tunisia,36.17N,9.94E
1940-12-01,8.865,0.5529999999999999,Susah,Tunisia,36.17N,9.94E
1941-01-01,10.595999999999998,0.561,Susah,Tunisia,36.17N,9.94E
1941-02-01,12.541,0.716,Susah,Tunisia,36.17N,9.94E
1941-03-01,14.493,0.41200000000000003,Susah,Tunisia,36.17N,9.94E
1941-04-01,15.923,0.358,Susah,Tunisia,36.17N,9.94E
1941-05-01,18.69,0.588,Susah,Tunisia,36.17N,9.94E
1941-06-01,24.136999999999997,0.38299999999999995,Susah,Tunisia,36.17N,9.94E
1941-07-01,28.205,0.39,Susah,Tunisia,36.17N,9.94E
1941-08-01,28.253,0.379,Susah,Tunisia,36.17N,9.94E
1941-09-01,23.141,0.391,Susah,Tunisia,36.17N,9.94E
1941-10-01,18.616,0.335,Susah,Tunisia,36.17N,9.94E
1941-11-01,14.472,0.3,Susah,Tunisia,36.17N,9.94E
1941-12-01,9.843,0.852,Susah,Tunisia,36.17N,9.94E
1942-01-01,8.455,0.485,Susah,Tunisia,36.17N,9.94E
1942-02-01,9.707,0.43799999999999994,Susah,Tunisia,36.17N,9.94E
1942-03-01,14.668,0.183,Susah,Tunisia,36.17N,9.94E
1942-04-01,17.762999999999995,0.419,Susah,Tunisia,36.17N,9.94E
1942-05-01,21.617,0.49200000000000005,Susah,Tunisia,36.17N,9.94E
1942-06-01,25.164,0.314,Susah,Tunisia,36.17N,9.94E
1942-07-01,27.66,0.376,Susah,Tunisia,36.17N,9.94E
1942-08-01,27.159000000000002,0.23199999999999998,Susah,Tunisia,36.17N,9.94E
1942-09-01,24.979,0.218,Susah,Tunisia,36.17N,9.94E
1942-10-01,21.4,0.294,Susah,Tunisia,36.17N,9.94E
1942-11-01,15.773,0.364,Susah,Tunisia,36.17N,9.94E
1942-12-01,12.347000000000001,0.49,Susah,Tunisia,36.17N,9.94E
1943-01-01,10.905,0.489,Susah,Tunisia,36.17N,9.94E
1943-02-01,11.181,0.392,Susah,Tunisia,36.17N,9.94E
1943-03-01,13.648,0.326,Susah,Tunisia,36.17N,9.94E
1943-04-01,17.105,0.33899999999999997,Susah,Tunisia,36.17N,9.94E
1943-05-01,20.636999999999997,0.385,Susah,Tunisia,36.17N,9.94E
1943-06-01,24.584,0.44,Susah,Tunisia,36.17N,9.94E
1943-07-01,29.081,0.48100000000000004,Susah,Tunisia,36.17N,9.94E
1943-08-01,28.025,0.349,Susah,Tunisia,36.17N,9.94E
1943-09-01,26.75,0.48100000000000004,Susah,Tunisia,36.17N,9.94E
1943-10-01,20.352,0.24600000000000002,Susah,Tunisia,36.17N,9.94E
1943-11-01,14.279000000000002,0.465,Susah,Tunisia,36.17N,9.94E
1943-12-01,12.450999999999999,0.5489999999999999,Susah,Tunisia,36.17N,9.94E
1944-01-01,9.354,0.41,Susah,Tunisia,36.17N,9.94E
1944-02-01,9.183,0.38,Susah,Tunisia,36.17N,9.94E
1944-03-01,10.992,0.46399999999999997,Susah,Tunisia,36.17N,9.94E
1944-04-01,16.715,0.302,Susah,Tunisia,36.17N,9.94E
1944-05-01,21.667,0.33899999999999997,Susah,Tunisia,36.17N,9.94E
1944-06-01,24.92,0.34600000000000003,Susah,Tunisia,36.17N,9.94E
1944-07-01,28.176,0.34700000000000003,Susah,Tunisia,36.17N,9.94E
1944-08-01,28.933000000000003,0.175,Susah,Tunisia,36.17N,9.94E
1944-09-01,25.589,0.56,Susah,Tunisia,36.17N,9.94E
1944-10-01,19.340999999999998,0.345,Susah,Tunisia,36.17N,9.94E
1944-11-01,15.163,0.45399999999999996,Susah,Tunisia,36.17N,9.94E
1944-12-01,10.607999999999999,0.337,Susah,Tunisia,36.17N,9.94E
1945-01-01,7.805,0.376,Susah,Tunisia,36.17N,9.94E
1945-02-01,10.587,0.285,Susah,Tunisia,36.17N,9.94E
1945-03-01,12.763,0.363,Susah,Tunisia,36.17N,9.94E
1945-04-01,18.145,0.765,Susah,Tunisia,36.17N,9.94E
1945-05-01,22.666,0.846,Susah,Tunisia,36.17N,9.94E
1945-06-01,27.066,0.5329999999999999,Susah,Tunisia,36.17N,9.94E
1945-07-01,28.902,0.45,Susah,Tunisia,36.17N,9.94E
1945-08-01,29.381,0.389,Susah,Tunisia,36.17N,9.94E
1945-09-01,25.006999999999998,0.36700000000000005,Susah,Tunisia,36.17N,9.94E
1945-10-01,18.663,0.32299999999999995,Susah,Tunisia,36.17N,9.94E
1945-11-01,15.385,0.3,Susah,Tunisia,36.17N,9.94E
1945-12-01,11.633,0.456,Susah,Tunisia,36.17N,9.94E
1946-01-01,10.459000000000001,0.485,Susah,Tunisia,36.17N,9.94E
1946-02-01,11.183,0.242,Susah,Tunisia,36.17N,9.94E
1946-03-01,13.365,0.2,Susah,Tunisia,36.17N,9.94E
1946-04-01,17.294999999999998,0.263,Susah,Tunisia,36.17N,9.94E
1946-05-01,20.526,0.294,Susah,Tunisia,36.17N,9.94E
1946-06-01,25.354,0.32799999999999996,Susah,Tunisia,36.17N,9.94E
