9999998,5.912000000000001,Cluj Napoca,Romania,47.42N,22.50E
1820-05-01,16.8,2.103,Cluj Napoca,Romania,47.42N,22.50E
1820-06-01,16.958,1.05,Cluj Napoca,Romania,47.42N,22.50E
1820-07-01,18.549,3.9530000000000003,Cluj Napoca,Romania,47.42N,22.50E
1820-08-01,21.355999999999998,3.0180000000000002,Cluj Napoca,Romania,47.42N,22.50E
1820-09-01,14.152000000000001,2.08,Cluj Napoca,Romania,47.42N,22.50E
1820-10-01,9.235,0.612,Cluj Napoca,Romania,47.42N,22.50E
1820-11-01,3.345,1.8719999999999999,Cluj Napoca,Romania,47.42N,22.50E
1820-12-01,-3.157,2.512,Cluj Napoca,Romania,47.42N,22.50E
1821-01-01,-1.3689999999999998,3.842,Cluj Napoca,Romania,47.42N,22.50E
1821-02-01,-3.366,5.4,Cluj Napoca,Romania,47.42N,22.50E
1821-03-01,2.011,2.262,Cluj Napoca,Romania,47.42N,22.50E
1821-04-01,12.071000000000002,2.436,Cluj Napoca,Romania,47.42N,22.50E
1821-05-01,15.927,2.045,Cluj Napoca,Romania,47.42N,22.50E
1821-06-01,15.421,3.062,Cluj Napoca,Romania,47.42N,22.50E
1821-07-01,18.008,2.3480000000000003,Cluj Napoca,Romania,47.42N,22.50E
1821-08-01,18.142,1.636,Cluj Napoca,Romania,47.42N,22.50E
1821-09-01,15.302,1.6230000000000002,Cluj Napoca,Romania,47.42N,22.50E
1821-10-01,9.04,0.792,Cluj Napoca,Romania,47.42N,22.50E
1821-11-01,5.04,1.794,Cluj Napoca,Romania,47.42N,22.50E
1821-12-01,1.7159999999999995,2.761,Cluj Napoca,Romania,47.42N,22.50E
1822-01-01,-1.5679999999999998,3.698,Cluj Napoca,Romania,47.42N,22.50E
1822-02-01,-0.02200000000000002,1.9880000000000002,Cluj Napoca,Romania,47.42N,22.50E
