000000000002,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1960-12-01,12.445,0.20800000000000002,Chimalhuacán,Mexico,20.09N,98.96W
1961-01-01,12.315,0.306,Chimalhuacán,Mexico,20.09N,98.96W
1961-02-01,13.422,0.23800000000000002,Chimalhuacán,Mexico,20.09N,98.96W
1961-03-01,16.11,0.397,Chimalhuacán,Mexico,20.09N,98.96W
1961-04-01,18.378,0.466,Chimalhuacán,Mexico,20.09N,98.96W
1961-05-01,19.49,0.322,Chimalhuacán,Mexico,20.09N,98.96W
1961-06-01,18.134,0.456,Chimalhuacán,Mexico,20.09N,98.96W
1961-07-01,17.055,0.33399999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1961-08-01,17.333,0.268,Chimalhuacán,Mexico,20.09N,98.96W
1961-09-01,16.916,0.185,Chimalhuacán,Mexico,20.09N,98.96W
1961-10-01,15.104000000000001,0.306,Chimalhuacán,Mexico,20.09N,98.96W
1961-11-01,14.327,0.27399999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1961-12-01,13.235,0.33799999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1962-01-01,12.265,0.37799999999999995,Chimalhuacán,Mexico,20.09N,98.96W
1962-02-01,15.450999999999999,0.474,Chimalhuacán,Mexico,20.09N,98.96W
1962-03-01,16.712,0.643,Chimalhuacán,Mexico,20.09N,98.96W
1962-04-01,16.313,0.292,Chimalhuacán,Mexico,20.09N,98.96W
1962-05-01,18.555,0.321,Chimalhuacán,Mexico,20.09N,98.96W
