,,Raigarh,India,21.70N,83.94E
1894-01-01,20.388,0.6829999999999999,Raigarh,India,21.70N,83.94E
1894-02-01,23.694000000000003,0.6729999999999999,Raigarh,India,21.70N,83.94E
1894-03-01,27.571,0.823,Raigarh,India,21.70N,83.94E
1894-04-01,31.244,0.317,Raigarh,India,21.70N,83.94E
1894-05-01,34.739000000000004,0.242,Raigarh,India,21.70N,83.94E
1894-06-01,30.274,0.212,Raigarh,India,21.70N,83.94E
1894-07-01,26.954,0.22,Raigarh,India,21.70N,83.94E
1894-08-01,26.735,0.536,Raigarh,India,21.70N,83.94E
1894-09-01,27.492,0.469,Raigarh,India,21.70N,83.94E
1894-10-01,26.051,0.237,Raigarh,India,21.70N,83.94E
1894-11-01,21.564,0.462,Raigarh,India,21.70N,83.94E
1894-12-01,19.514,0.606,Raigarh,India,21.70N,83.94E
1895-01-01,20.239,0.494,Raigarh,India,21.70N,83.94E
1895-02-01,22.281,0.6659999999999999,Raigarh,India,21.70N,83.94E
1895-03-01,26.656,0.45899999999999996,Raigarh,India,21.70N,83.94E
1895-04-01,29.846,0.39399999999999996,Raigarh,India,21.70N,83.94E
1895-05-01,34.085,0.415,Raigarh,India,21.70N,83.94E
1895-06-01,30.381999999999998,0.539,Raigarh,India,21.70N,83.94E
1895-07-01,27.801,0.331,Raigarh,India,21.70N,83.94E
1895-08-01,27.017,0.28800000000000003,Raigarh,India,21.70N,83.94E
1895-09-01,28.08,0.322,Raigarh,India,21.70N,83.94E
1895-10-01,25.535,0.34700000000000003,Raigarh,India,21.70N,83.94E
1895-11-01,23.179,0.603,Raigarh,India,21.70N,83.94E
1895-12-01,18.3,0.358,Raigarh,India,21.70N,83.94E
1896-01-01,19.298,0.664,Raigarh,India,21.70N,83.94E
1896-02-01,23.879,0.49,Raigarh,India,21.70N,83.94E
1896-03-01,28.653000000000002,0.899,Raigarh,India,21.70N,83.94E
1896-04-01,33.003,0.505,Raigarh,India,21.70N,83.94E
1896-05-01,34.528,0.594,Raigarh,India,21.70N,83.94E
1896-06-01,30.0,0.298,Raigarh,India,21.70N,83.94E
1896-07-01,27.843000000000004,0.281,Raigarh,India,21.70N,83.94E
1896-08-01,27.142,0.401,Raigarh,India,21.70N,83.94E
1896-09-01,28.193,0.49700000000000005,Raigarh,India,21.70N,83.94E
1896-10-01,26.668000000000003,0.634,Raigarh,India,21.70N,83.94E
1896-11-01,23.655,0.395,Raigarh,India,21.70N,83.94E
1896-12-01,19.794,0.40700000000000003,Raigarh,India,21.70N,83.94E
1897-01-01,21.136999999999997,0.794,Raigarh,India,21.70N,83.94E
1897-02-01,24.009,0.71,Raigarh,India,21.70N,83.94E
1897-03-01,27.743000000000002,0.735,Raigarh,India,21.70N,83.94E
1897-04-01,31.738000000000003,0.946,Raigarh,India,21.70N,83.94E
1897-05-01,34.72,0.716,Raigarh,India,21.70N,83.94E
1897-06-01,32.154,0.736,Raigarh,India,21.70N,83.94E
1897-07-01,29.007,0.294,Raigarh,India,21.70N,83.94E
1897-08-01,27.08,0.43799999999999994,Raigarh,India,21.70N,83.94E
1897-09-01,27.97,0.541,Raigarh,India,21.70N,83.94E
1897-10-01,25.675,0.614,Raigarh,India,21.70N,83.94E
