999997,0.956,Majalaya,Indonesia,7.23S,107.84E
1890-05-01,24.358,0.765,Majalaya,Indonesia,7.23S,107.84E
1890-06-01,23.816,0.7090000000000001,Majalaya,Indonesia,7.23S,107.84E
1890-07-01,23.563000000000002,0.882,Majalaya,Indonesia,7.23S,107.84E
1890-08-01,23.788,0.7040000000000001,Majalaya,Indonesia,7.23S,107.84E
1890-09-01,24.156999999999996,0.698,Majalaya,Indonesia,7.23S,107.84E
1890-10-01,24.316000000000006,0.7909999999999999,Majalaya,Indonesia,7.23S,107.84E
1890-11-01,23.793000000000003,0.542,Majalaya,Indonesia,7.23S,107.84E
1890-12-01,23.709,0.621,Majalaya,Indonesia,7.23S,107.84E
1891-01-01,23.879,0.9059999999999999,Majalaya,Indonesia,7.23S,107.84E
1891-02-01,23.729,0.5539999999999999,Majalaya,Indonesia,7.23S,107.84E
1891-03-01,24.103,0.5670000000000001,Majalaya,Indonesia,7.23S,107.84E
1891-04-01,24.198,0.413,Majalaya,Indonesia,7.23S,107.84E
1891-05-01,24.824,0.5760000000000001,Majalaya,Indonesia,7.23S,107.84E
1891-06-01,24.391,0.652,Majalaya,Indonesia,7.23S,107.84E
1891-07-01,23.656999999999996,0.523,Majalaya,Indonesia,7.23S,107.84E
1891-08-01,23.557,0.636,Majalaya,Indonesia,7.23S,107.84E
1891-09-01,24.929000000000002,0.5379999999999999,Majalaya,Indonesia,7.23S,107.84E
1891-10-01,25.545,0.636,Majalaya,Indonesia,7.23S,107.84E
1891-11-01,25.168000000000003,0.551,Majalaya,Indonesia,7.23S,107.84E
1891-12-01,24.183000000000003,0.568,Majalaya,Indonesia,7.23S,107.84E
1892-01-01,23.891,0.718,Majalaya,Indonesia,7.23S,107.84E
1892-02-01,24.308000000000003,0.512,Majalaya,Indonesia,7.23S,107.84E
1892-03-01,24.47,1.053,Majalaya,Indonesia,7.23S,107.84E
1892-04-01,24.037,0.617,Majalaya,Indonesia,7.23S,107.84E
1892-05-01,24.161,0.597,Majalaya,Indonesia,7.23S,107.84E
1892-06-01,24.272,0.66,Majalaya,Indonesia,7.23S,107.84E
1892-07-01,23.958000000000002,0.88,Majalaya,Indonesia,7.23S,107.84E
1892-08-01,23.75,0.586,Majalaya,Indonesia,7.23S,107.84E
1892-09-01,24.058000000000003,0.644,Majalaya,Indonesia,7.23S,107.84E
1892-10-01,24.643,0.447,Majalaya,Indonesia,7.23S,107.84E
1892-11-01,24.281999999999996,0.802,Majalaya,Indonesia,7.23S,107.84E
1892-12-01,24.268,0.847,Majalaya,Indonesia,7.23S,107.84E
1893-01-01,23.211,1.042,Majalaya,Indonesia,7.23S,107.84E
1893-02-01,23.344,0.635,Majalaya,Indonesia,7.23S,107.84E
1893-03-01,23.936,0.889,Majalaya,Indonesia,7.23S,107.84E
1893-04-01,24.114,0.589,Majalaya,Indonesia,7.23S,107.84E
1893-05-01,24.458000000000002,0.8490000000000001,Majalaya,Indonesia,7.23S,107.84E
1893-06-01,23.69,0.644,Majalaya,Indonesia,7.23S,107.84E
1893-07-01,23.526,0.73,Majalaya,Indonesia,7.23S,107.84E
1893-08-01,23.987,0.7490000000000001,Majalaya,Indonesia,7.23S,107.84E
1893-09-01,24.573,0.491,Majalaya,Indonesia,7.23S,107.84E
1893-10-01,24.513,0.546,Majalaya,Indonesia,7.23S,107.84E
1893-11-01,24.646,0.785,Majalaya,Indonesia,7.23S,107.84E
1893-12-01,23.456999999999997,0.6759999999999999,Majalaya,Indonesia,7.23S,107.84E
1894-01-01,23.358,0.62,Majalaya,Indonesia,7.23S,107.84E
1894-02-01,23.72,0.562,Majalaya,Indonesia,7.23S,107.84E
1894-03-01,24.025,0.67,Majalaya,Indonesia,7.23S,107.84E
1894-04-01,24.276,0.5529999999999999,Majalaya,Indonesia,7.23S,107.84E
1894-05-01,24.017,0.774,Majalaya,Indonesia,7.23S,107.84E
1894-06-01,23.68,0.544,Majalaya,Indonesia,7.23S,107.84E
1894-07-01,23.735,0.473,Majalaya,Indonesia,7.23S,107.84E
1894-08-01,24.143,0.628,Majalaya,Indonesia,7.23S,107.84E
1894-09-01,24.823,0.633,Majalaya,Indonesia,7.23S,107.84E
1894-10-01,24.995,0.526,Majalaya,Indonesia,7.23S,107.84E
1894-11-01,24.54,0.631,Majalaya,Indonesia,7.23S,107.84E
1894-12-01,24.016,0.531,Majalaya,Indonesia,7.23S,107.84E
1895-01-01,23.975,0.81,Majalaya,Indonesia,7.23S,107.84E
1895-02-01,23.705,0.637,Majalaya,Indonesia,7.23S,107.84E
1895-03-01,24.195999999999998,0.595,Majalaya,Indonesia,7.23S,107.84E
1895-04-01,24.426,0.6609999999999999,Majalaya,Indonesia,7.23S,107.84E
1895-05-01,24.44,0.685,Majalaya,Indonesia,7.23S,107.84E
1895-06-01,24.191999999999997,0.611,Majalaya,Indonesia,7.23S,107.84E
1895-07-01,23.293000000000003,0.499,Majalaya,Indonesia,7.23S,107.84E
1895-08-01,23.774,0.424,Majalaya,Indonesia,7.23S,107.84E
1895-09-01,25.05,0.55,Majalaya,Indonesia,7.23S,107.84E
1895-10-01,25.368,0.535,Majalaya,Indonesia,7.23S,107.84E
1895-11-01,24.932,0.551,Majalaya,Indonesia,7.23S,107.84E
1895-12-01,24.206999999999997,0.61,Majalaya,Indonesia,7.23S,107.84E
1896-01-01,24.275,1.203,Majalaya,Indonesia,7.23S,107.84E
1896-02-01,24.058000000000003,0.738,Majalaya,Indonesia,7.23S,107.84E
1896-03-01,24.261,0.525,Majalaya,Indonesia,7.23S,107.84E
1896-04-01,24.081999999999997,0.613,Majalaya,Indonesia,7.23S,107.84E
1896-05-01,24.739,0.452,Majalaya,Indonesia,7.23S,107.84E
1896-06-01,24.418000000000003,0.644,Majalaya,Indonesia,7.23S,107.84E
1896-07-01,23.959,0.5579999999999999,Majalaya,Indonesia,7.23S,107.84E
1896-08-01,24.433000000000003,0.7709999999999999,Majalaya,Indonesia,7.23S,107.84E
1896-09-01,25.051,0.6920000000000001,Majalaya,Indonesia,7.23S,107.84E
1896-10-01,25.274,1.376,Majalaya,Indonesia,7.23S,107.84E
1896-11-01,25.165,2.189,Majalaya,Indonesia,7.23S,107.84E
1896-12-01,24.403000000000002,0.866,Majalaya,Indonesia,7.23S,107.84E
1897-01-01,24.498,1.8769999999999998,Majalaya,Indonesia,7.23S,107.84E
1897-02-01,25.081,0.7659999999999999,Majalaya,Indonesia,7.23S,107.84E
1897-03-01,24.479,0.9229999999999999,Majalaya,Indonesia,7.23S,107.84E
1897-04-01,24.535,0.742,Majalaya,Indonesia,7.23S,107.84E
1897-05-01,25.151,0.47200000000000003,Majalaya,Indonesia,7.23S,107.84E
1897-06-01,24.96,0.595,Majalaya,Indonesia,7.23S,107.84E
1897-07-01,24.233,0.49700000000000005,Majalaya,Indonesia,7.23S,107.84E
1897-08-01,24.538,0.5589999999999999,Majalaya,Indonesia,7.23S,107.84E
1897-09-01,24.921,0.493,Majalaya,Indonesia,7.23S,107.84E
1897-10-01,24.865,0.5489999999999999,Majalaya,Indonesia,7.23S,107.84E
1897-11-01,24.826,0.8,Majalaya,Indonesia,7.23S,107.84E
1897-12-01,24.945,0.956,Majalaya,Indonesia,7.23S,107.84E
1898-01-01,24.072,1.079,Majalaya,Indonesia,7.23S,107.84E
1898-02-01,24.044,0.607,Majalaya,Indonesia,7.23S,107.84E
1898-03-01,24.486,0.706,Majalaya,Indonesia,7.23S,107.84E
1898-04-01,24.588,0.5770000000000001,Majalaya,Indonesia,7.23S,107.84E
1898-05-01,24.803,0.83,Majalaya,Indonesia,7.23S,107.84E
1898-06-01,24.288,0.449,Majalaya,Indonesia,7.23S,107.84E
1898-07-01,23.934,0.517,Majalaya,Indonesia,7.23S,107.84E
1898-08-01,24.426,0.552,Majalaya,Indonesia,7.23S,107.84E
1898-09-01,24.757,0.872,Majalaya,Indonesia,7.23S,107.84E
1898-10-01,24.671,0.8690000000000001,Majalaya,Indonesia,7.23S,107.84E
1898-11-01,24.791,1.122,Majalaya,Indonesia,7.23S,107.84E
1898-12-01,24.14,1.736,Majalaya,Indonesia,7.23S,107.84E
1899-01-01,24.066,1.797,Majalaya,Indonesia,7.23S,107.84E
1899-02-01,23.707,1.038,Majalaya,Indonesia,7.23S,107.84E
1899-03-01,24.041,0.667,Majalaya,Indonesia,7.23S,107.84E
1899-04-01,24.094,0.67,Majalaya,Indonesia,7.23S,107.84E
1899-05-01,24.655,0.522,Majalaya,Indonesia,7.23S,107.84E
1899-06-01,23.819000000000003,0.594,Majalaya,Indonesia,7.23S,107.84E
1899-07-01,24.084,0.41200000000000003,Majalaya,Indonesia,7.23S,107.84E
1899-08-01,24.301,0.935,Majalaya,Indonesia,7.23S,107.84E
1899-09-01,24.729,0.424,Majalaya,Indonesia,7.23S,107.84E
