03,0.321,Brunswick,Germany,52.24N,10.51E
1948-11-01,4.921,0.302,Brunswick,Germany,52.24N,10.51E
1948-12-01,2.236,0.919,Brunswick,Germany,52.24N,10.51E
1949-01-01,2.302,0.45899999999999996,Brunswick,Germany,52.24N,10.51E
1949-02-01,2.8539999999999996,0.738,Brunswick,Germany,52.24N,10.51E
1949-03-01,2.367,0.19899999999999998,Brunswick,Germany,52.24N,10.51E
1949-04-01,10.215,0.212,Brunswick,Germany,52.24N,10.51E
1949-05-01,12.431,0.17800000000000002,Brunswick,Germany,52.24N,10.51E
1949-06-01,13.83,0.196,Brunswick,Germany,52.24N,10.51E
1949-07-01,17.291,0.301,Brunswick,Germany,52.24N,10.51E
1949-08-01,17.198999999999998,0.185,Brunswick,Germany,52.24N,10.51E
1949-09-01,16.968,0.11,Brunswick,Germany,52.24N,10.51E
1949-10-01,11.085999999999999,0.282,Brunswick,Germany,52.24N,10.51E
1949-11-01,4.3389999999999995,0.217,Brunswick,Germany,52.24N,10.51E
1949-12-01,3.562,0.139,Brunswick,Germany,52.24N,10.51E
1950-01-01,-0.41,0.289,Brunswick,Germany,52.24N,10.51E
1950-02-01,3.467,0.22399999999999998,Brunswick,Germany,52.24N,10.51E
1950-03-01,5.26,0.324,Brunswick,Germany,52.24N,10.51E
1950-04-01,6.776999999999999,0.172,Brunswick,Germany,52.24N,10.51E
1950-05-01,13.743,0.16899999999999998,Brunswick,Germany,52.24N,10.51E
1950-06-01,17.344,0.177,Brunswick,Germany,52.24N,10.51E
1950-07-01,17.651,0.295,Brunswick,Germany,52.24N,10.51E
1950-08-01,18.025,0.138,Brunswick,Germany,52.24N,10.51E
1950-09-01,13.252,0.12300000000000001,Brunswick,Germany,52.24N,10.51E
1950-10-01,8.177999999999999,0.14800000000000002,Brunswick,Germany,52.24N,10.51E
1950-11-01,4.5920000000000005,0.19899999999999998,Brunswick,Germany,52.24N,10.51E
1950-12-01,-1.31,0.18,Brunswick,Germany,52.24N,10.51E
1951-01-01,1.7109999999999999,0.255,Brunswick,Germany,52.24N,10.51E
1951-02-01,2.177,0.3,Brunswick,Germany,52.24N,10.51E
1951-03-01,2.323,0.18600000000000003,Brunswick,Germany,52.24N,10.51E
1951-04-01,7.3119999999999985,0.23399999999999999,Brunswick,Germany,52.24N,10.51E
1951-05-01,11.427,0.124,Brunswick,Germany,52.24N,10.51E
1951-06-01,15.624,0.425,Brunswick,Germany,52.24N,10.51E
1951-07-01,17.183,0.289,Brunswick,Germany,52.24N,10.51E
1951-08-01,17.875999999999994,0.18600000000000003,Brunswick,Germany,52.24N,10.51E
1951-09-01,15.163,0.353,Brunswick,Germany,52.24N,10.51E
1951-10-01,7.769000000000001,0.214,Brunswick,Germany,52.24N,10.51E
1951-11-01,7.039,0.262,Brunswick,Germany,52.24N,10.51E
1951-12-01,3.9189999999999996,0.364,Brunswick,Germany,52.24N,10.51E
1952-01-01,0.979,0.22699999999999998,Brunswick,Germany,52.24N,10.51E
1952-02-01,1.054,0.16699999999999998,Brunswick,Germany,52.24N,10.51E
1952-03-01,2.3819999999999997,0.2,Brunswick,Germany,52.24N,10.51E
1952-04-01,10.579,0.235,Brunswick,Germany,52.24N,10.51E
1952-05-01,12.243,0.183,Brunswick,Germany,52.24N,10.51E
1952-06-01,14.898,0.115,Brunswick,Germany,52.24N,10.51E
1952-07-01,17.798,0.11199999999999999,Brunswick,Germany,52.24N,10.51E
1952-08-01,17.948,0.145,Brunswick,Germany,52.24N,10.51E
1952-09-01,11.005999999999998,0.174,Brunswick,Germany,52.24N,10.51E
1952-10-01,7.351000000000001,0.27899999999999997,Brunswick,Germany,52.24N,10.51E
1952-11-01,1.8600000000000003,0.237,Brunswick,Germany,52.24N,10.51E
1952-12-01,-0.08500000000000019,0.11199999999999999,Brunswick,Germany,52.24N,10.51E
1953-01-01,0.345,0.215,Brunswick,Germany,52.24N,10.51E
1953-02-01,0.616,0.111,Brunswick,Germany,52.24N,10.51E
1953-03-01,5.282,0.255,Brunswick,Germany,52.24N,10.51E
1953-04-01,9.0,0.24100000000000002,Brunswick,Germany,52.24N,10.51E
1953-05-01,13.374,0.249,Brunswick,Germany,52.24N,10.51E
1953-06-01,16.830000000000002,0.157,Brunswick,Germany,52.24N,10.51E
