9999999999998,0.318,Ulyanovsk,Russia,53.84N,47.73E
1866-04-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1866-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-01-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-03-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-04-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1867-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-01-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-03-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-04-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1868-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1869-01-01,23.179000000000002,2.205,Umm Durman,Sudan,15.27N,32.50E
1869-02-01,25.272,2.246,Umm Durman,Sudan,15.27N,32.50E
1869-03-01,26.598000000000003,2.0269999999999997,Umm Durman,Sudan,15.27N,32.50E
1869-04-01,30.327,1.9669999999999999,Umm Durman,Sudan,15.27N,32.50E
1869-05-01,33.719,1.454,Umm Durman,Sudan,15.27N,32.50E
1869-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1869-07-01,31.138,1.6019999999999999,Umm Durman,Sudan,15.27N,32.50E
1869-08-01,30.421999999999997,1.6569999999999998,Umm Durman,Sudan,15.27N,32.50E
1869-09-01,31.429000000000002,1.4980000000000002,Umm Durman,Sudan,15.27N,32.50E
1869-10-01,30.628,1.7409999999999999,Umm Durman,Sudan,15.27N,32.50E
1869-11-01,27.756999999999998,1.651,Umm Durman,Sudan,15.27N,32.50E
1869-12-01,23.252,2.039,Umm Durman,Sudan,15.27N,32.50E
1870-01-01,22.736,2.189,Umm Durman,Sudan,15.27N,32.50E
1870-02-01,24.066000000000006,2.307,Umm Durman,Sudan,15.27N,32.50E
1870-03-01,27.702,1.9340000000000002,Umm Durman,Sudan,15.27N,32.50E
1870-04-01,30.446,1.8159999999999998,Umm Durman,Sudan,15.27N,32.50E
1870-05-01,34.055,1.357,Umm Durman,Sudan,15.27N,32.50E
1870-06-01,33.614000000000004,1.443,Umm Durman,Sudan,15.27N,32.50E
1870-07-01,31.430999999999997,1.6880000000000002,Umm Durman,Sudan,15.27N,32.50E
1870-08-01,29.965999999999998,1.633,Umm Durman,Sudan,15.27N,32.50E
1870-09-01,31.232,1.547,Umm Durman,Sudan,15.27N,32.50E
1870-10-01,30.464,1.5619999999999998,Umm Durman,Sudan,15.27N,32.50E
1870-11-01,27.123,1.9409999999999998,Umm Durman,Sudan,15.27N,32.50E
1870-12-01,22.168000000000003,2.022,Umm Durman,Sudan,15.27N,32.50E
1871-01-01,21.459,2.233,Umm Durman,Sudan,15.27N,32.50E
1871-02-01,22.826,2.248,Umm Durman,Sudan,15.27N,32.50E
1871-03-01,26.749000000000002,1.98,Umm Durman,Sudan,15.27N,32.50E
1871-04-01,31.094,1.6909999999999998,Umm Durman,Sudan,15.27N,32.50E
1871-05-01,33.707,1.382,Umm Durman,Sudan,15.27N,32.50E
1871-06-01,33.117,1.389,Umm Durman,Sudan,15.27N,32.50E
1871-07-01,30.544,1.681,Umm Durman,Sudan,15.27N,32.50E
1871-08-01,29.801,1.675,Umm Durman,Sudan,15.27N,32.50E
1871-09-01,30.606,1.4769999999999999,Umm Durman,Sudan,15.27N,32.50E
1871-10-01,30.569000000000006,1.56,Umm Durman,Sudan,15.27N,32.50E
1871-11-01,26.714,1.725,Umm Durman,Sudan,15.27N,32.50E
1871-12-01,23.968000000000004,2.001,Umm Durman,Sudan,15.27N,32.50E
1872-01-01,21.906999999999996,2.231,Umm Durman,Sudan,15.27N,32.50E
1872-02-01,23.866999999999997,2.299,Umm Durman,Sudan,15.27N,32.50E
1872-03-01,27.618000000000002,1.9369999999999998,Umm Durman,Sudan,15.27N,32.50E
1872-04-01,30.238000000000003,1.891,Umm Durman,Sudan,15.27N,32.50E
1872-05-01,33.382,1.361,Umm Durman,Sudan,15.27N,32.50E
1872-06-01,33.31,1.3159999999999998,Umm Durman,Sudan,15.27N,32.50E
1872-07-01,30.826,1.673,Umm Durman,Sudan,15.27N,32.50E
1872-08-01,29.996,1.6980000000000002,Umm Durman,Sudan,15.27N,32.50E
1872-09-01,30.976999999999997,1.5030000000000001,Umm Durman,Sudan,15.27N,32.50E
1872-10-01,30.508000000000006,1.415,Umm Durman,Sudan,15.27N,32.50E
1872-11-01,26.971999999999998,1.686,Umm Durman,Sudan,15.27N,32.50E
1872-12-01,22.651,2.188,Umm Durman,Sudan,15.27N,32.50E
1873-01-01,21.944000000000003,2.209,Umm Durman,Sudan,15.27N,32.50E
1873-02-01,24.717,2.258,Umm Durman,Sudan,15.27N,32.50E
1873-03-01,27.281999999999996,1.939,Umm Durman,Sudan,15.27N,32.50E
1873-04-01,30.764,1.847,Umm Durman,Sudan,15.27N,32.50E
1873-05-01,33.955,1.4609999999999999,Umm Durman,Sudan,15.27N,32.50E
1873-06-01,33.604,1.2770000000000001,Umm Durman,Sudan,15.27N,32.50E
1873-07-01,30.793000000000006,1.6369999999999998,Umm Durman,Sudan,15.27N,32.50E
1873-08-01,29.923000000000002,1.625,Umm Durman,Sudan,15.27N,32.50E
1873-09-01,30.614,1.5,Umm Durman,Sudan,15.27N,32.50E
1873-10-01,30.689,1.42,Umm Durman,Sudan,15.27N,32.50E
1873-11-01,27.829,1.6840000000000002,Umm Durman,Sudan,15.27N,32.50E
1873-12-01,24.126,1.945,Umm Durman,Sudan,15.27N,32.50E
1874-01-01,22.703000000000003,2.33,Umm Durman,Sudan,15.27N,32.50E
1874-02-01,24.273000000000003,2.258,Umm Durman,Sudan,15.27N,32.50E
1874-03-01,26.35,2.065,Umm Durman,Sudan,15.27N,32.50E
1874-04-01,30.816999999999997,1.715,Umm Durman,Sudan,15.27N,32.50E
1874-05-01,34.113,1.386,Umm Durman,Sudan,15.27N,32.50E
1874-06-01,32.754,1.3840000000000001,Umm Durman,Sudan,15.27N,32.50E
1874-07-01,30.791999999999998,1.604,Umm Durman,Sudan,15.27N,32.50E
1874-08-01,29.744,1.758,Umm Durman,Sudan,15.27N,32.50E
1874-09-01,30.998,1.54,Umm Durman,Sudan,15.27N,32.50E
1874-10-01,30.755000000000006,1.423,Umm Durman,Sudan,15.27N,32.50E
1874-11-01,28.044,1.703,Umm Durman,Sudan,15.27N,32.50E
1874-12-01,23.642,2.068,Umm Durman,Sudan,15.27N,32.50E
1875-01-01,21.3,2.074,Umm Durman,Sudan,15.27N,32.50E
1875-02-01,23.761000000000006,2.224,Umm Durman,Sudan,15.27N,32.50E
1875-03-01,26.969,2.0140000000000002,Umm Durman,Sudan,15.27N,32.50E
1875-04-01,29.906,1.6880000000000002,Umm Durman,Sudan,15.27N,32.50E
1875-05-01,32.524,1.27,Umm Durman,Sudan,15.27N,32.50E
1875-06-01,32.87,1.335,Umm Durman,Sudan,15.27N,32.50E
1875-07-01,30.885,1.6,Umm Durman,Sudan,15.27N,32.50E
1875-08-01,29.572,1.636,Umm Durman,Sudan,15.27N,32.50E
1875-09-01,30.209,1.4580000000000002,Umm Durman,Sudan,15.27N,32.50E
1875-10-01,29.995,1.399,Umm Durman,Sudan,15.27N,32.50E
1875-11-01,25.9,1.561,Umm Durman,Sudan,15.27N,32.50E
1875-12-01,23.154,1.8259999999999998,Umm Durman,Sudan,15.27N,32.50E
1876-01-01,22.128,1.9909999999999999,Umm Durman,Sudan,15.27N,32.50E
1876-02-01,23.879,2.045,Umm Durman,Sudan,15.27N,32.50E
1876-03-01,26.855,2.021,Umm Durman,Sudan,15.27N,32.50E
1876-04-01,31.014,1.6540000000000001,Umm Durman,Sudan,15.27N,32.50E
1876-05-01,33.069,1.3459999999999999,Umm Durman,Sudan,15.27N,32.50E
1876-06-01,33.211,1.2409999999999999,Umm Durman,Sudan,15.27N,32.50E
1876-07-01,30.53,1.51,Umm Durman,Sudan,15.27N,32.50E
1876-08-01,29.461,1.551,Umm Durman,Sudan,15.27N,32.50E
1876-09-01,30.662,1.56,Umm Durman,Sudan,15.27N,32.50E
1876-10-01,30.630000000000006,1.385,Umm Durman,Sudan,15.27N,32.50E
1876-11-01,27.414,1.604,Umm Durman,Sudan,15.27N,32.50E
1876-12-01,22.179000000000002,1.8869999999999998,Umm Durman,Sudan,15.27N,32.50E
1877-01-01,22.074,2.032,Umm Durman,Sudan,15.27N,32.50E
1877-02-01,24.47,2.0980000000000003,Umm Durman,Sudan,15.27N,32.50E
1877-03-01,27.924,1.901,Umm Durman,Sudan,15.27N,32.50E
1877-04-01,31.197,1.7309999999999999,Umm Durman,Sudan,15.27N,32.50E
1877-05-01,34.203,1.29,Umm Durman,Sudan,15.27N,32.50E
1877-06-01,33.333,1.6159999999999999,Umm Durman,Sudan,15.27N,32.50E
1877-07-01,31.439,1.672,Umm Durman,Sudan,15.27N,32.50E
1877-08-01,29.968000000000004,1.74,Umm Durman,Sudan,15.27N,32.50E
1877-09-01,30.9,1.726,Umm Durman,Sudan,15.27N,32.50E
1877-10-01,31.445,1.425,Umm Durman,Sudan,15.27N,32.50E
1877-11-01,27.929,1.6980000000000002,Umm Durman,Sudan,15.27N,32.50E
1877-12-01,23.333000000000002,2.174,Umm Durman,Sudan,15.27N,32.50E
1878-01-01,22.042,2.0380000000000003,Umm Durman,Sudan,15.27N,32.50E
1878-02-01,24.339,2.108,Umm Durman,Sudan,15.27N,32.50E
1878-03-01,28.571,1.874,Umm Durman,Sudan,15.27N,32.50E
1878-04-01,31.872,1.704,Umm Durman,Sudan,15.27N,32.50E
1878-05-01,33.284,1.425,Umm Durman,Sudan,15.27N,32.50E
1878-06-01,33.919000000000004,1.238,Umm Durman,Sudan,15.27N,32.50E
