.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1967-08-01,3.8169999999999997,0.28600000000000003,Puerto Montt,Chile,40.99S,72.43W
1967-09-01,5.615,0.27399999999999997,Puerto Montt,Chile,40.99S,72.43W
1967-10-01,8.199,0.355,Puerto Montt,Chile,40.99S,72.43W
1967-11-01,10.994000000000002,0.08800000000000001,Puerto Montt,Chile,40.99S,72.43W
1967-12-01,13.351,0.267,Puerto Montt,Chile,40.99S,72.43W
1968-01-01,14.073,0.38,Puerto Montt,Chile,40.99S,72.43W
1968-02-01,13.007,0.897,Puerto Montt,Chile,40.99S,72.43W
1968-03-01,11.067,0.77,Puerto Montt,Chile,40.99S,72.43W
1968-04-01,8.889000000000003,0.261,Puerto Montt,Chile,40.99S,72.43W
1968-05-01,7.667000000000001,0.252,Puerto Montt,Chile,40.99S,72.43W
1968-06-01,4.723000000000001,0.525,Puerto Montt,Chile,40.99S,72.43W
1968-07-01,5.057,0.36,Puerto Montt,Chile,40.99S,72.43W
1968-08-01,5.2829999999999995,0.273,Puerto Montt,Chile,40.99S,72.43W
1968-09-01,6.9190000000000005,0.158,Puerto Montt,Chile,40.99S,72.43W
1968-10-01,7.138,0.606,Puerto Montt,Chile,40.99S,72.43W
1968-11-01,11.783,0.332,Puerto Montt,Chile,40.99S,72.43W
1968-12-01,11.476,0.8690000000000001,Puerto Montt,Chile,40.99S,72.43W
1969-01-01,13.91,0.35600000000000004,Puerto Montt,Chile,40.99S,72.43W
1969-02-01,12.195,0.6940000000000001,Puerto Montt,Chile,40.99S,72.43W
1969-03-01,10.972999999999999,0.28300000000000003,Puerto Montt,Chile,40.99S,72.43W
1969-04-01,8.323,0.5539999999999999,Puerto Montt,Chile,40.99S,72.43W
1969-05-01,6.792000000000001,0.39399999999999996,Puerto Montt,Chile,40.99S,72.43W
1969-06-01,4.0569999999999995,0.272,Puerto Montt,Chile,40.99S,72.43W
1969-07-01,4.821000000000001,0.212,Puerto Montt,Chile,40.99S,72.43W
1969-08-01,4.5,0.23199999999999998,Puerto Montt,Chile,40.99S,72.43W
1969-09-01,5.986000000000001,0.361,Puerto Montt,Chile,40.99S,72.43W
1969-10-01,6.586,0.396,Puerto Montt,Chile,40.99S,72.43W
1969-11-01,10.23,0.308,Puerto Montt,Chile,40.99S,72.43W
1969-12-01,13.372,0.41700000000000004,Puerto Montt,Chile,40.99S,72.43W
1970-01-01,13.632,0.607,Puerto Montt,Chile,40.99S,72.43W
1970-02-01,13.691,0.331,Puerto Montt,Chile,40.99S,72.43W
1970-03-01,11.214,0.456,Puerto Montt,Chile,40.99S,72.43W
1970-04-01,8.718,0.26,Puerto Montt,Chile,40.99S,72.43W
1970-05-01,6.6000000000000005,0.21100000000000002,Puerto Montt,Chile,40.99S,72.43W
1970-06-01,4.141,0.24600000000000002,Puerto Montt,Chile,40.99S,72.43W
1970-07-01,4.831,0.268,Puerto Montt,Chile,40.99S,72.43W
1970-08-01,3.976,0.135,Puerto Montt,Chile,40.99S,72.43W
