2007-12-01,28.023000000000003,0.49,Teresina,Brazil,5.63S,43.59W
2008-01-01,26.358,0.257,Teresina,Brazil,5.63S,43.59W
2008-02-01,26.206999999999997,0.16699999999999998,Teresina,Brazil,5.63S,43.59W
2008-03-01,25.571,0.37200000000000005,Teresina,Brazil,5.63S,43.59W
2008-04-01,25.912,0.21100000000000002,Teresina,Brazil,5.63S,43.59W
2008-05-01,26.331,0.204,Teresina,Brazil,5.63S,43.59W
2008-06-01,25.866999999999997,0.526,Teresina,Brazil,5.63S,43.59W
2008-07-01,26.733,0.518,Teresina,Brazil,5.63S,43.59W
2008-08-01,27.715,0.713,Teresina,Brazil,5.63S,43.59W
2008-09-01,29.430999999999997,0.276,Teresina,Brazil,5.63S,43.59W
2008-10-01,29.553,0.45899999999999996,Teresina,Brazil,5.63S,43.59W
2008-11-01,29.406,0.309,Teresina,Brazil,5.63S,43.59W
2008-12-01,27.489,0.244,Teresina,Brazil,5.63S,43.59W
2009-01-01,26.978,0.32299999999999995,Teresina,Brazil,5.63S,43.59W
2009-02-01,26.087,0.353,Teresina,Brazil,5.63S,43.59W
2009-03-01,26.261999999999997,0.313,Teresina,Brazil,5.63S,43.59W
2009-04-01,25.877,0.2,Teresina,Brazil,5.63S,43.59W
2009-05-01,25.916,0.255,Teresina,Brazil,5.63S,43.59W
2009-06-01,26.42,0.354,Teresina,Brazil,5.63S,43.59W
2009-07-01,26.469,0.6779999999999999,Teresina,Brazil,5.63S,43.59W
2009-08-01,27.53,0.365,Teresina,Brazil,5.63S,43.59W
2009-09-01,28.996,0.377,Teresina,Brazil,5.63S,43.59W
2009-10-01,28.715,0.22399999999999998,Teresina,Brazil,5.63S,43.59W
2009-11-01,28.76,0.41,Teresina,Brazil,5.63S,43.59W
2009-12-01,27.299,0.35100000000000003,Teresina,Brazil,5.63S,43.59W
2010-01-01,26.691999999999997,0.281,Teresina,Brazil,5.63S,43.59W
2010-02-01,27.505000000000006,0.308,Teresina,Brazil,5.63S,43.59W
2010-03-01,27.599,0.32899999999999996,Teresina,Brazil,5.63S,43.59W
2010-04-01,27.143,0.16899999999999998,Teresina,Brazil,5.63S,43.59W
2010-05-01,27.785,0.282,Teresina,Brazil,5.63S,43.59W
2010-06-01,26.831999999999997,0.35700000000000004,Teresina,Brazil,5.63S,43.59W
2010-07-01,27.456,0.294,Teresina,Brazil,5.63S,43.59W
2010-08-01,28.248,0.243,Teresina,Brazil,5.63S,43.59W
2010-09-01,29.52,0.273,Teresina,Brazil,5.63S,43.59W
2010-10-01,29.308000000000003,0.19,Teresina,Brazil,5.63S,43.59W
2010-11-01,28.955,0.198,Teresina,Brazil,5.63S,43.59W
2010-12-01,27.366,0.39799999999999996,Teresina,Brazil,5.63S,43.59W
2011-01-01,26.193,0.517,Teresina,Brazil,5.63S,43.59W
2011-02-01,25.761000000000006,0.226,Teresina,Brazil,5.63S,43.59W
2011-03-01,26.383000000000003,0.18100000000000002,Teresina,Brazil,5.63S,43.59W
2011-04-01,26.184,0.306,Teresina,Brazil,5.63S,43.59W
2011-05-01,26.647,0.292,Teresina,Brazil,5.63S,43.59W
2011-06-01,26.804,0.365,Teresina,Brazil,5.63S,43.59W
2011-07-01,26.568,0.35,Teresina,Brazil,5.63S,43.59W
2011-08-01,27.869,0.324,Teresina,Brazil,5.63S,43.59W
2011-09-01,29.35,0.531,Teresina,Brazil,5.63S,43.59W
2011-10-01,28.555,0.177,Teresina,Brazil,5.63S,43.59W
2011-11-01,27.520000000000003,0.376,Teresina,Brazil,5.63S,43.59W
2011-12-01,27.914,0.441,Teresina,Brazil,5.63S,43.59W
2012-01-01,26.684,0.40700000000000003,Teresina,Brazil,5.63S,43.59W
2012-02-01,26.006,0.27899999999999997,Teresina,Brazil,5.63S,43.59W
2012-03-01,26.471,0.315,Teresina,Brazil,5.63S,43.59W
2012-04-01,27.075,0.396,Teresina,Brazil,5.63S,43.59W
2012-05-01,27.485,0.24,Teresina,Brazil,5.63S,43.59W
