075000000000006,1.085,Pontianak,Indonesia,0.80S,110.09E
1900-03-01,26.365,0.698,Pontianak,Indonesia,0.80S,110.09E
1900-04-01,26.471999999999998,0.748,Pontianak,Indonesia,0.80S,110.09E
1900-05-01,26.689,0.58,Pontianak,Indonesia,0.80S,110.09E
1900-06-01,26.750999999999998,0.708,Pontianak,Indonesia,0.80S,110.09E
1900-07-01,26.318,0.72,Pontianak,Indonesia,0.80S,110.09E
1900-08-01,26.599,0.578,Pontianak,Indonesia,0.80S,110.09E
1900-09-01,26.631999999999998,0.802,Pontianak,Indonesia,0.80S,110.09E
1900-10-01,26.180999999999997,0.62,Pontianak,Indonesia,0.80S,110.09E
1900-11-01,25.82,0.6609999999999999,Pontianak,Indonesia,0.80S,110.09E
1900-12-01,25.806,0.812,Pontianak,Indonesia,0.80S,110.09E
1901-01-01,25.855,0.778,Pontianak,Indonesia,0.80S,110.09E
1901-02-01,25.886,0.855,Pontianak,Indonesia,0.80S,110.09E
1901-03-01,25.796,0.77,Pontianak,Indonesia,0.80S,110.09E
1901-04-01,26.296999999999997,0.627,Pontianak,Indonesia,0.80S,110.09E
1901-05-01,26.476000000000006,0.542,Pontianak,Indonesia,0.80S,110.09E
1901-06-01,26.53,0.665,Pontianak,Indonesia,0.80S,110.09E
1901-07-01,25.950000000000006,0.621,Pontianak,Indonesia,0.80S,110.09E
1901-08-01,25.849,0.5870000000000001,Pontianak,Indonesia,0.80S,110.09E
1901-09-01,26.180999999999997,0.532,Pontianak,Indonesia,0.80S,110.09E
1901-10-01,25.999000000000002,0.6809999999999999,Pontianak,Indonesia,0.80S,110.09E
1901-11-01,25.529,0.574,Pontianak,Indonesia,0.80S,110.09E
1901-12-01,25.222,0.6409999999999999,Pontianak,Indonesia,0.80S,110.09E
1902-01-01,25.695,0.626,Pontianak,Indonesia,0.80S,110.09E
1902-02-01,25.421999999999997,0.674,Pontianak,Indonesia,0.80S,110.09E
1902-03-01,25.545,0.804,Pontianak,Indonesia,0.80S,110.09E
1902-04-01,25.802,0.883,Pontianak,Indonesia,0.80S,110.09E
1902-05-01,26.396,0.626,Pontianak,Indonesia,0.80S,110.09E
1902-06-01,26.426,0.617,Pontianak,Indonesia,0.80S,110.09E
1902-07-01,26.388,0.613,Pontianak,Indonesia,0.80S,110.09E
1902-08-01,26.27,0.633,Pontianak,Indonesia,0.80S,110.09E
1902-09-01,26.002,0.7,Pontianak,Indonesia,0.80S,110.09E
1902-10-01,25.846999999999998,0.84,Pontianak,Indonesia,0.80S,110.09E
1902-11-01,25.679,0.9670000000000001,Pontianak,Indonesia,0.80S,110.09E
1902-12-01,25.681,0.96,Pontianak,Indonesia,0.80S,110.09E
1903-01-01,26.466,1.205,Pontianak,Indonesia,0.80S,110.09E
1903-02-01,26.011,0.909,Pontianak,Indonesia,0.80S,110.09E
1903-03-01,26.103,0.461,Pontianak,Indonesia,0.80S,110.09E
1903-04-01,26.299,0.625,Pontianak,Indonesia,0.80S,110.09E
1903-05-01,26.451999999999998,0.519,Pontianak,Indonesia,0.80S,110.09E
1903-06-01,26.473000000000003,0.462,Pontianak,Indonesia,0.80S,110.09E
1903-07-01,26.311,0.451,Pontianak,Indonesia,0.80S,110.09E
