9999999999998,0.426,Amol,Iran,36.17N,51.71E
1932-01-01,0.5689999999999997,1.074,Amol,Iran,36.17N,51.71E
1932-02-01,2.944,0.927,Amol,Iran,36.17N,51.71E
1932-03-01,7.09,2.353,Amol,Iran,36.17N,51.71E
1932-04-01,12.437999999999999,0.41200000000000003,Amol,Iran,36.17N,51.71E
1932-05-01,17.207,0.262,Amol,Iran,36.17N,51.71E
1932-06-01,22.176,0.369,Amol,Iran,36.17N,51.71E
1932-07-01,23.663,0.361,Amol,Iran,36.17N,51.71E
1932-08-01,23.708000000000002,1.2409999999999999,Amol,Iran,36.17N,51.71E
1932-09-01,20.531999999999996,0.593,Amol,Iran,36.17N,51.71E
1932-10-01,15.745999999999999,0.813,Amol,Iran,36.17N,51.71E
1932-11-01,8.143999999999998,0.8420000000000001,Amol,Iran,36.17N,51.71E
1932-12-01,0.1689999999999996,0.33799999999999997,Amol,Iran,36.17N,51.71E
1933-01-01,-0.42200000000000015,0.6829999999999999,Amol,Iran,36.17N,51.71E
1933-02-01,3.3760000000000003,0.419,Amol,Iran,36.17N,51.71E
1933-03-01,4.348,0.639,Amol,Iran,36.17N,51.71E
1933-04-01,9.895,0.9059999999999999,Amol,Iran,36.17N,51.71E
1933-05-01,17.863,1.088,Amol,Iran,36.17N,51.71E
1933-06-01,20.816999999999997,0.594,Amol,Iran,36.17N,51.71E
1933-07-01,25.268,1.722,Amol,Iran,36.17N,51.71E
1933-08-01,25.279,0.938,Amol,Iran,36.17N,51.71E
1933-09-01,20.711,0.524,Amol,Iran,36.17N,51.71E
1933-10-01,15.3,0.307,Amol,Iran,36.17N,51.71E
1933-11-01,9.614,0.5660000000000001,Amol,Iran,36.17N,51.71E
1933-12-01,3.3509999999999995,1.015,Amol,Iran,36.17N,51.71E
1934-01-01,-1.9080000000000004,1.189,Amol,Iran,36.17N,51.71E
1934-02-01,3.133,1.4780000000000002,Amol,Iran,36.17N,51.71E
1934-03-01,5.8260000000000005,1.137,Amol,Iran,36.17N,51.71E
1934-04-01,9.54,1.409,Amol,Iran,36.17N,51.71E
1934-05-01,14.079,1.665,Amol,Iran,36.17N,51.71E
1934-06-01,21.573,0.207,Amol,Iran,36.17N,51.71E
1934-07-01,25.005,0.37799999999999995,Amol,Iran,36.17N,51.71E
1934-08-01,24.353,0.29100000000000004,Amol,Iran,36.17N,51.71E
1934-09-01,19.58,0.304,Amol,Iran,36.17N,51.71E
1934-10-01,14.6,0.361,Amol,Iran,36.17N,51.71E
1934-11-01,7.6610000000000005,1.311,Amol,Iran,36.17N,51.71E
1934-12-01,3.333,0.617,Amol,Iran,36.17N,51.71E
1935-01-01,-0.8820000000000001,0.5529999999999999,Amol,Iran,36.17N,51.71E
1935-02-01,4.347,0.74,Amol,Iran,36.17N,51.71E
1935-03-01,6.533,0.787,Amol,Iran,36.17N,51.71E
1935-04-01,11.495999999999999,1.381,Amol,Iran,36.17N,51.71E
1935-05-01,16.632,0.525,Amol,Iran,36.17N,51.71E
1935-06-01,20.42,0.498,Amol,Iran,36.17N,51.71E
