942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
1874-07-01,18.809,0.456,Tilburg,Netherlands,52.24N,5.26E
1874-08-01,15.527,0.47200000000000003,Tilburg,Netherlands,52.24N,5.26E
1874-09-01,15.050999999999998,0.302,Tilburg,Netherlands,52.24N,5.26E
1874-10-01,10.614,0.527,Tilburg,Netherlands,52.24N,5.26E
1874-11-01,3.7230000000000003,0.674,Tilburg,Netherlands,52.24N,5.26E
1874-12-01,-0.7979999999999999,0.855,Tilburg,Netherlands,52.24N,5.26E
1875-01-01,3.4130000000000003,0.866,Tilburg,Netherlands,52.24N,5.26E
1875-02-01,-0.665,0.879,Tilburg,Netherlands,52.24N,5.26E
1875-03-01,3.0200000000000005,0.6829999999999999,Tilburg,Netherlands,52.24N,5.26E
1875-04-01,7.716,0.585,Tilburg,Netherlands,52.24N,5.26E
1875-05-01,13.184,0.516,Tilburg,Netherlands,52.24N,5.26E
1875-06-01,16.029999999999998,0.892,Tilburg,Netherlands,52.24N,5.26E
1875-07-01,16.971,0.662,Tilburg,Netherlands,52.24N,5.26E
1875-08-01,18.323,0.653,Tilburg,Netherlands,52.24N,5.26E
1875-09-01,15.136,0.465,Tilburg,Netherlands,52.24N,5.26E
1875-10-01,8.043,0.397,Tilburg,Netherlands,52.24N,5.26E
1875-11-01,3.9930000000000003,0.617,Tilburg,Netherlands,52.24N,5.26E
1875-12-01,1.213,0.485,Tilburg,Netherlands,52.24N,5.26E
1876-01-01,-0.6499999999999999,0.634,Tilburg,Netherlands,52.24N,5.26E
1876-02-01,2.927,0.639,Tilburg,Netherlands,52.24N,5.26E
1876-03-01,4.772,1.49,Tilburg,Netherlands,52.24N,5.26E
1876-04-01,8.575000000000001,0.863,Tilburg,Netherlands,52.24N,5.26E
1876-05-01,9.463,0.779,Tilburg,Netherlands,52.24N,5.26E
1876-06-01,15.594000000000001,0.773,Tilburg,Netherlands,52.24N,5.26E
1876-07-01,18.022000000000002,0.6990000000000001,Tilburg,Netherlands,52.24N,5.26E
1876-08-01,17.754,0.318,Tilburg,Netherlands,52.24N,5.26E
